Name,RxCUI,Rx_Norm_Drug_Class,Drug_Class
Acebutolol Hydrochloride 200 MG Oral Capsule [Sectral],998691,betablocker,BB
Acebutolol Hydrochloride 100 MG Oral Capsule,998693,betablocker,BB
Acebutolol Hydrochloride 400 MG Oral Tablet,998695,betablocker,BB
Penbutolol Sulfate 20 MG Oral Tablet,1191185,betablocker,BB
Penbutolol Sulfate 20 MG Oral Tablet [Levatol],1191187,betablocker,BB
Penbutolol Sulfate 40 MG Oral Capsule,1191194,betablocker,BB
Penbutolol Sulfate 40 MG Oral Tablet,1191195,betablocker,BB
4 ML Labetalol hydrochloride 5 MG/ML Prefilled Syringe,1234256,betablocker,BB
Labetalol hydrochloride 2 MG/ML Injectable Solution,1247408,betablocker,BB
2 ML Labetalol hydrochloride 5 MG/ML Prefilled Syringe,1250200,betablocker,BB
5 ML Labetalol hydrochloride 5 MG/ML Prefilled Syringe,1250201,betablocker,BB
Betaxolol Hydrochloride 10 MG Oral Tablet,1297753,betablocker,BB
Betaxolol Hydrochloride 10 MG Oral Tablet [Kerlone],1297755,betablocker,BB
Betaxolol Hydrochloride 20 MG Oral Tablet,1297757,betablocker,BB
Betaxolol Hydrochloride 20 MG Oral Tablet [Kerlone],1297759,betablocker,BB
Labetalol hydrochloride 5 MG/ML Prefilled Syringe,1359872,betablocker,BB
Atenolol,1202,betablocker,BB
Sotalol Hydrochloride,7008,betablocker,BB
Nadolol,7226,betablocker,BB
Pindolol,8332,betablocker,BB
Propranolol Hydrochloride,82084,betablocker,BB
Metoprolol Tartrate,203191,betablocker,BB
Metoprolol Tartrate 37.5 MG Oral Tablet,1606347,betablocker,BB
Metoprolol Tartrate 75 MG Oral Tablet,1606349,betablocker,BB
Sotalol,9947,betablocker,BB
250 ML Esmolol hydrochloride 10 MG/ML Injection,1736541,betablocker,BB
10 ML Esmolol hydrochloride 10 MG/ML Injection,1736546,betablocker,BB
5 ML Metoprolol Tartrate 1 MG/ML Cartridge,1744259,betablocker,BB
Sotalol Hydrochloride 120 MG Oral Tablet,1923422,betablocker,BB
Sotalol Hydrochloride 160 MG Oral Tablet,1923424,betablocker,BB
Sotalol Hydrochloride 80 MG Oral Tablet,1923426,betablocker,BB
Nifedipine 10 MG Oral Capsule [Adalat],91691,CCB,CCB
Nifedipine 20 MG Oral Capsule [Adalat],91692,CCB,CCB
Nifedipine 5 MG Oral Capsule [Calcipine],102337,CCB,CCB
Nifedipine 10 MG Oral Capsule [Calcipine],102338,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Cardilate MR],103944,CCB,CCB
Verapamil hydrochloride 40 MG Oral Tablet [Geangin],104270,CCB,CCB
Verapamil hydrochloride 80 MG Oral Tablet [Geangin],104271,CCB,CCB
Verapamil hydrochloride 120 MG Oral Tablet [Geangin],104272,CCB,CCB
Verapamil hydrochloride 240 MG Extended Release Tablet [Securon SR],104273,CCB,CCB
24 HR Verapamil hydrochloride 120 MG Extended Release Capsule [Univer],104276,CCB,CCB
24 HR Verapamil hydrochloride 240 MG Extended Release Capsule [Univer],104277,CCB,CCB
24 HR Verapamil hydrochloride 180 MG Extended Release Capsule [Univer],104278,CCB,CCB
12 HR Diltiazem 120 MG Extended Release Tablet [Tildiem Retard],104404,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Adizem-XL],104406,CCB,CCB
12 HR Diltiazem Hydrochloride 90 MG Extended Release Capsule [Dilzem SR],104407,CCB,CCB
12 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Dilzem SR],104408,CCB,CCB
12 HR Diltiazem Hydrochloride 60 MG Extended Release Capsule [Dilzem SR],104409,CCB,CCB
Nifedipine 5 MG Oral Capsule [Angiopine],104411,CCB,CCB
Nifedipine 10 MG Oral Capsule [Adalate],104412,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Angiopine MR],104414,CCB,CCB
24 HR Felodipine 5 MG Extended Release Tablet [Plendil],104419,CCB,CCB
24 HR Felodipine 10 MG Extended Release Tablet [Plendil],104420,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nifelease],108494,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Slozem],108500,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Slozem],108501,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Slozem],108502,CCB,CCB
Nifedipine 10 MG Oral Capsule [Calanif],108745,CCB,CCB
Nifedipine 5 MG Oral Capsule [Calanif],108781,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Metazem],108834,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Hypolar Retard 20],108842,CCB,CCB
12 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Angitil SR],108849,CCB,CCB
12 HR Diltiazem Hydrochloride 90 MG Extended Release Capsule [Angitil SR],108850,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Angitil SR],108913,CCB,CCB
lacidipine 2 MG Oral Tablet,141902,CCB,CCB
lacidipine 4 MG Oral Tablet,141903,CCB,CCB
Nifedipine 5 MG Oral Capsule [Adalat],150753,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Adipine MR 20],151085,CCB,CCB
12 HR Diltiazem 90 MG Extended Release Tablet [Calcicard CR],151126,CCB,CCB
12 HR Diltiazem 120 MG Extended Release Tablet [Calcicard CR],151127,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Capsule [Kentiazem],151240,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Adipine MR 10],151244,CCB,CCB
24 HR Diltiazem Hydrochloride 200 MG Extended Release Capsule [Tildiem LA],152543,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Unipine XL],152601,CCB,CCB
Verapamil hydrochloride 40 MG Oral Tablet [Hypaneze],152725,CCB,CCB
Verapamil hydrochloride 80 MG Oral Tablet [Hypaneze],152726,CCB,CCB
Verapamil hydrochloride 120 MG Oral Tablet [Hypaneze],152727,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nimodrel MR 20],152730,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Nimodrel MR 10],152731,CCB,CCB
24 HR Nifedipine 40 MG Extended Release Tablet [Angiopine 40 LA],152801,CCB,CCB
12 HR Diltiazem 90 MG Extended Release Tablet [Angiozem CR],152802,CCB,CCB
12 HR Diltiazem 120 MG Extended Release Tablet [Angiozem CR],152803,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Cardilate MR],152906,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Tensipine MR 10],152908,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Tensipine MR 20],152909,CCB,CCB
24 HR Felodipine 2.5 MG Extended Release Tablet [Plendil],152933,CCB,CCB
Nisoldipine 10 MG Extended Release Tablet [Syscor MR],152936,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Zemtard XL],153071,CCB,CCB
24 HR Nifedipine 40 MG Extended Release Tablet [Fortipine LA40],153103,CCB,CCB
24 HR Nifedipine 20 MG Extended Release Tablet [Adalat LA],153223,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nifedotard 20MR],153308,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Slofedipine],153320,CCB,CCB
Verapamil hydrochloride 240 MG Extended Release Tablet [Verapress MR],153369,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Viazem XL],153454,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Viazem XL],153455,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Viazem XL],153456,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Viazem XL],153457,CCB,CCB
24 HR Diltiazem Hydrochloride 360 MG Extended Release Capsule [Viazem XL],153458,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Angiopine MR],153538,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Genalat Retard],153593,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Genalat Retard],153594,CCB,CCB
lercanidipine 10 MG Oral Tablet,153680,CCB,CCB
lercanidipine 10 MG Oral Tablet [Zanidip],153681,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Calazem],153789,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Optil],153800,CCB,CCB
12 HR Diltiazem Hydrochloride 90 MG Extended Release Capsule [Dilcardia SR],153839,CCB,CCB
12 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Dilcardia SR],153840,CCB,CCB
12 HR Diltiazem Hydrochloride 60 MG Extended Release Capsule [Dilcardia SR],153894,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Nifedipress MR 10],153914,CCB,CCB
Amlodipine 5 MG Oral Tablet,197361,CCB,CCB
Felodipine 2.5 MG Extended Release Tablet,197692,CCB,CCB
Isradipine 2.5 MG Oral Capsule,197848,CCB,CCB
Isradipine 5 MG Oral Capsule,197849,CCB,CCB
Nifedipine 10 MG Oral Capsule,198032,CCB,CCB
Nifedipine 20 MG Oral Capsule,198033,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet,198034,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet,198035,CCB,CCB
24 HR Nifedipine 90 MG Extended Release Tablet,198036,CCB,CCB
Nifedipine 5 MG Oral Capsule,199329,CCB,CCB
Isradipine 2.5 MG Oral Tablet,199757,CCB,CCB
Nifedipine 20 MG Oral Tablet,199782,CCB,CCB
Verapamil 160 MG Extended Release Oral Capsule,199979,CCB,CCB
Diltiazem Hydrochloride 60 MG Oral Tablet [Calcicard],200877,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Tildiem],200878,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Britiazim],200879,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Angiozem],200880,CCB,CCB
Diltiazem Hydrochloride 60 MG Extended Release Tablet [Adizem],200881,CCB,CCB
Nifedipine 5 MG Oral Capsule [Vasad],200883,CCB,CCB
Nifedipine 10 MG Oral Capsule [Vasad],200884,CCB,CCB
Nifedipine 10 MG Oral Capsule [Calcilat],200885,CCB,CCB
Nifedipine 10 MG Oral Capsule [Angiopine],200886,CCB,CCB
Verapamil hydrochloride 40 MG Oral Tablet [Berkatens],201285,CCB,CCB
Verapamil hydrochloride 40 MG Oral Tablet [Cordilox],201286,CCB,CCB
Verapamil hydrochloride 40 MG Oral Tablet [Securon],201287,CCB,CCB
Verapamil hydrochloride 80 MG Oral Tablet [Berkatens],201288,CCB,CCB
Verapamil hydrochloride 80 MG Oral Tablet [Cordilox],201289,CCB,CCB
Verapamil hydrochloride 80 MG Oral Tablet [Securon],201290,CCB,CCB
Verapamil hydrochloride 120 MG Oral Tablet [Berkatens],201291,CCB,CCB
Verapamil hydrochloride 120 MG Oral Tablet [Cordilox],201292,CCB,CCB
Verapamil hydrochloride 120 MG Oral Tablet [Securon],201293,CCB,CCB
Verapamil hydrochloride 160 MG Oral Tablet [Berkatens],201294,CCB,CCB
Verapamil hydrochloride 160 MG Oral Tablet [Cordilox],201295,CCB,CCB
Verapamil hydrochloride 160 MG Oral Tablet [Securon],201296,CCB,CCB
Verapamil hydrochloride 120 MG Extended Release Tablet [Half Securon SR],201297,CCB,CCB
12 HR Diltiazem 90 MG Extended Release Tablet [Tildiem Retard],201444,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Tildiem LA],201445,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Adalat Retard 20],201449,CCB,CCB
24 HR Nifedipine 20 MG Extended Release Tablet [Nifensar XL],201450,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Adalate LP],201451,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Adalat AR],201452,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Adalat Retard 10],201453,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Capsule [Coracten],201455,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Adalat LA],201457,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Capsule [Coracten],201458,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Adizem-XL],202223,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Dilzem XL],202224,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Adizem-XL],202229,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Dilzem XL],202230,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Adizem-XL],202232,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Dilzem XL],202233,CCB,CCB
Isradipine 5 MG Oral Capsule [Dynacirc],206934,CCB,CCB
Isradipine 2.5 MG Oral Capsule [Dynacirc],206935,CCB,CCB
Nifedipine 10 MG Oral Capsule [Procardia],207765,CCB,CCB
Nifedipine 20 MG Oral Capsule [Procardia],207769,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Procardia],207772,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Procardia],207773,CCB,CCB
24 HR Nifedipine 90 MG Extended Release Tablet [Procardia],207774,CCB,CCB
Amlodipine 2.5 MG Oral Tablet [Norvasc],212542,CCB,CCB
Amlodipine 5 MG Oral Tablet [Norvasc],212549,CCB,CCB
Amlodipine 10 MG Oral Tablet [Norvasc],212575,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet [Nivaten Retard],226347,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Coroday MR],226536,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Angitil XL],226539,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Angitil XL],226540,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nifedipress MR 20],226663,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Zemtard XL],226710,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Zemtard XL],226711,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Zemtard XL],226712,CCB,CCB
Verapamil hydrochloride 240 MG Extended Release Tablet [Ethimil MR],226975,CCB,CCB
Verapamil hydrochloride 240 MG Extended Release Tablet [Cordilox MR],227052,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Oral Capsule,227058,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Oral Capsule,227059,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Capsule [Coracten XL],227060,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Capsule [Coracten XL],227061,CCB,CCB
12 HR Diltiazem Hydrochloride 90 MG Extended Release Capsule [Optil SR],227073,CCB,CCB
12 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Optil SR],227074,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Optil SR],227075,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Optil XL],227076,CCB,CCB
24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Optil XL],227077,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nivaten Retard],227083,CCB,CCB
Verapamil hydrochloride 240 MG Extended Release Tablet [Vertab SR],227110,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet [Nifopress Retard],227119,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Slofedipine XL],227121,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Slofedipine XL],227122,CCB,CCB
24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Dilcardia XL],227164,CCB,CCB
24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Dilcardia XL],227165,CCB,CCB
24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Dilcardia XL],227166,CCB,CCB
Magnesium Sulfate 0.8 MEQ/ML Injectable Solution,237443,CCB,CCB
Magnesium Sulfate 1 MEQ/ML Injectable Solution,237444,CCB,CCB
Magnesium Sulfate 0.64 MEQ/ML Injectable Solution,240575,CCB,CCB
12 HR Diltiazem 300 MG Extended Release Capsule,245227,CCB,CCB
12 HR Diltiazem 90 MG Extended Release Tablet,246260,CCB,CCB
12 HR Diltiazem 180 MG Extended Release Tablet,246261,CCB,CCB
Nifedipine 20 MG Extended Release Tablet,246262,CCB,CCB
12 HR Diltiazem 120 MG Extended Release Oral Tablet,246395,CCB,CCB
Gallopamil 50 MG Oral Tablet,246396,CCB,CCB
12 HR Diltiazem 240 MG Extended Release Tablet,246472,CCB,CCB
Nitrendipine 10 MG Oral Tablet,246473,CCB,CCB
Nifedipine 33 MG Oral Tablet,248631,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Tablet,248708,CCB,CCB
Nitrendipine 20 MG Oral Tablet,249387,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Capsule,249620,CCB,CCB
Nisoldipine 5 MG Oral Tablet,249717,CCB,CCB
Isradipine 5 MG Extended Release Capsule,249887,CCB,CCB
12 HR Nifedipine 10 MG Extended Release Capsule,250206,CCB,CCB
24 HR Nifedipine 40 MG Extended Release Tablet,250384,CCB,CCB
Nitrendipine 40 MG Oral Tablet,251867,CCB,CCB
Nifedipine 40 MG Extended Release Capsule,252192,CCB,CCB
Isradipine 2.5 MG Extended Release Oral Capsule,252211,CCB,CCB
Magnesium Sulfate 250 MG/ML Injectable Solution,252459,CCB,CCB
Amlodipine 10 MG Oral Tablet,308135,CCB,CCB
Amlodipine 2.5 MG Oral Tablet,308136,CCB,CCB
Isradipine 10 MG Extended Release Oral Tablet,311202,CCB,CCB
Isradipine 5 MG Extended Release Oral Tablet,311203,CCB,CCB
Magnesium Sulfate 2 MEQ/ML Injectable Solution,311437,CCB,CCB
24 HR Nisoldipine 10 MG Extended Release Oral Tablet,311983,CCB,CCB
24 HR Nisoldipine 20 MG Extended Release Oral Tablet,311984,CCB,CCB
24 HR Nisoldipine 30 MG Extended Release Oral Tablet,311985,CCB,CCB
Nisoldipine 40 MG Extended Release Oral Tablet,311986,CCB,CCB
Nifedipine 10 MG Oral Tablet,314132,CCB,CCB
Magnesium Sulfate 4 MEQ/ML Injectable Solution,317121,CCB,CCB
lercanidipine 20 MG Oral Tablet,349485,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Nifedical],351438,CCB,CCB
Felodipine 5 MG Extended Release Tablet,358334,CCB,CCB
24 HR Nisoldipine 40 MG Extended Release Oral Tablet,360344,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Nifedical],360394,CCB,CCB
Amlodipine Oral Tablet,370573,CCB,CCB
Isradipine Extended Release Tablet,370723,CCB,CCB
Isradipine Oral Capsule,370724,CCB,CCB
Diltiazem Oral Tablet,371856,CCB,CCB
Gallopamil Oral Tablet,372289,CCB,CCB
Isradipine Extended Release Capsule,372524,CCB,CCB
lacidipine Oral Tablet,372555,CCB,CCB
Magnesium Sulfate Injectable Solution,372696,CCB,CCB
Nicardipine Oral Capsule,373058,CCB,CCB
Nicardipine Extended Release Capsule,373059,CCB,CCB
Nicardipine Oral Tablet,373060,CCB,CCB
Nifedipine Oral Capsule,373067,CCB,CCB
Nifedipine Extended Release Capsule,373068,CCB,CCB
Nifedipine Oral Tablet,373069,CCB,CCB
Nifedipine Extended Release Tablet,373070,CCB,CCB
Nisoldipine Oral Tablet,373093,CCB,CCB
Nisoldipine Extended Release Tablet,373094,CCB,CCB
Nitrendipine Oral Tablet,373098,CCB,CCB
Verapamil Oral Tablet,374289,CCB,CCB
Verapamil Extended Release Tablet,374290,CCB,CCB
Nicardipine Injectable Solution,374411,CCB,CCB
Diltiazem Extended Release Capsule,374425,CCB,CCB
Diltiazem Extended Release Tablet,375031,CCB,CCB
Verapamil Extended Release Capsule,375337,CCB,CCB
Isradipine Oral Tablet,376248,CCB,CCB
Diltiazem Injectable Solution,376886,CCB,CCB
lercanidipine Oral Tablet,378649,CCB,CCB
Verapamil Oral Solution,379252,CCB,CCB
Nifedipine 60 MG Oral Tablet,391901,CCB,CCB
Nifedipine 30 MG Oral Tablet,391980,CCB,CCB
Verapamil 180 MG Oral Tablet,392165,CCB,CCB
Diltiazem Oral Capsule,393149,CCB,CCB
Verapamil Oral Capsule,393163,CCB,CCB
24 HR Felodipine 10 MG Extended Release Oral Tablet,402695,CCB,CCB
24 HR Felodipine 5 MG Extended Release Oral Tablet,402696,CCB,CCB
24 HR Felodipine 2.5 MG Extended Release Oral Tablet,402698,CCB,CCB
Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet,404011,CCB,CCB
Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet,404013,CCB,CCB
Amlodipine / atorvastatin Oral Tablet,405788,CCB,CCB
Amlodipine 5 MG Oral Capsule,410587,CCB,CCB
24 HR Isradipine 2.5 MG Extended Release Oral Capsule,411765,CCB,CCB
24 HR Isradipine 5 MG Extended Release Oral Capsule,411766,CCB,CCB
nilvadipine 8 MG Extended Release Oral Capsule,412047,CCB,CCB
nilvadipine 16 MG Extended Release Oral Capsule,412048,CCB,CCB
24 HR Verapamil 160 MG Extended Release Oral Capsule,412163,CCB,CCB
24 HR Verapamil 80 MG Extended Release Oral Capsule,412164,CCB,CCB
24 HR nilvadipine 8 MG Extended Release Oral Capsule,412181,CCB,CCB
24 HR nilvadipine 16 MG Extended Release Capsule,412182,CCB,CCB
Magnesium Sulfate 1.2 MEQ/ML Injectable Solution,412510,CCB,CCB
Magnesium Sulfate 0.96 MEQ/ML Injectable Solution,412511,CCB,CCB
Magnesium Sulfate 320 MG/ML Injectable Solution,412512,CCB,CCB
Nifedipine 0.1 MG/ML Injectable Solution,415900,CCB,CCB
Nitrendipine 5 MG/ML Oral Solution,422272,CCB,CCB
manidipine 10 MG Oral Tablet,429051,CCB,CCB
manidipine 20 MG Oral Tablet,429052,CCB,CCB
Gallopamil 100 MG Extended Release Oral Tablet,431606,CCB,CCB
Nifedipine 50 MG Extended Release Tablet,431813,CCB,CCB
Gallopamil 25 MG Oral Tablet,432811,CCB,CCB
Nisoldipine 10 MG Oral Tablet,433467,CCB,CCB
24 HR Nifedipine 20 MG Extended Release Oral Tablet,433843,CCB,CCB
12 HR Nifedipine 20 MG Extended Release Tablet,434135,CCB,CCB
Nifedipine 10 MG Sublingual Tablet,434570,CCB,CCB
Amlodipine Oral Capsule,437439,CCB,CCB
Amlodipine 5 MG Extended Release Oral Capsule,437440,CCB,CCB
Amlodipine Extended Release Capsule,437441,CCB,CCB
Felodipine Extended Release Tablet,439558,CCB,CCB
Gallopamil Extended Release Tablet,439824,CCB,CCB
manidipine Oral Tablet,441152,CCB,CCB
Nifedipine Injectable Solution,446659,CCB,CCB
Nifedipine Sublingual Tablet,446660,CCB,CCB
nilvadipine Extended Release Capsule,446705,CCB,CCB
Nitrendipine Oral Solution,446757,CCB,CCB
Diltiazem Hydrochloride 120 MG Oral Tablet [Tiamate],484953,CCB,CCB
Nifedipine 30 MG Extended Release Oral Tablet,491070,CCB,CCB
Nifedipine 60 MG Extended Release Oral Tablet,491078,CCB,CCB
Nifedipine 90 MG Extended Release Oral Tablet,491086,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Nifediac],541603,CCB,CCB
lercanidipine 20 MG Oral Tablet [Lastolic],542686,CCB,CCB
Nisoldipine 10 MG Extended Release Tablet,562154,CCB,CCB
Nisoldipine 20 MG Extended Release Tablet,562514,CCB,CCB
Nisoldipine 30 MG Extended Release Tablet,562515,CCB,CCB
24 HR Isradipine 10 MG Extended Release Tablet,562518,CCB,CCB
24 HR Isradipine 5 MG Extended Release Tablet,562520,CCB,CCB
24 HR Nisoldipine 20 MG Extended Release Tablet [Sular],597921,CCB,CCB
24 HR Nisoldipine 30 MG Extended Release Tablet [Sular],597922,CCB,CCB
24 HR Nisoldipine 40 MG Extended Release Tablet [Sular],597923,CCB,CCB
Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet,597967,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet,597971,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet,597974,CCB,CCB
Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,597977,CCB,CCB
Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet,597980,CCB,CCB
Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet,597984,CCB,CCB
Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet,597987,CCB,CCB
Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet,597990,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet,597993,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Adalat],672916,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Adalat],672917,CCB,CCB
24 HR Nifedipine 90 MG Extended Release Tablet [Adalat],672918,CCB,CCB
24 HR Nifedipine 30 MG Extended Release Tablet [Afeditab CR],672920,CCB,CCB
24 HR Nifedipine 60 MG Extended Release Tablet [Afeditab CR],672921,CCB,CCB
24 HR Nisoldipine 10 MG Extended Release Tablet [Sular],672922,CCB,CCB
Felodipine 10 MG Extended Release Oral Tablet,700745,CCB,CCB
Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet [Caduet 10/10],750199,CCB,CCB
Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet 10/20],750203,CCB,CCB
Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet [Caduet 10/40],750207,CCB,CCB
Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet [Caduet 10/80],750211,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet [Caduet 2.5/40],750215,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet [Caduet 2.5/20],750219,CCB,CCB
Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet [Caduet 2.5/10],750223,CCB,CCB
Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet 5/10],750227,CCB,CCB
Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [Caduet 5/20],750231,CCB,CCB
Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet [Caduet 5/40],750235,CCB,CCB
Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet [Caduet 5/80],750239,CCB,CCB
Amlodipine Disintegrating Tablet,757673,CCB,CCB
Amlodipine 10 MG Disintegrating Tablet,757674,CCB,CCB
Amlodipine 2.5 MG Disintegrating Tablet,757675,CCB,CCB
Amlodipine 5 MG Disintegrating Tablet,757676,CCB,CCB
Diltiazem Prefilled Syringe,762947,CCB,CCB
Nisoldipine 8.5 MG Extended Release Oral Tablet,763497,CCB,CCB
Nisoldipine 8.5 MG Extended Release Tablet [Sular],763499,CCB,CCB
24 HR Nisoldipine 17 MG Extended Release Oral Tablet,763519,CCB,CCB
24 HR Nisoldipine 17 MG Extended Release Tablet [Sular],763521,CCB,CCB
24 HR Nisoldipine 25.5 MG Extended Release Oral Tablet,763574,CCB,CCB
24 HR Nisoldipine 25.5 MG Extended Release Tablet [Sular],763576,CCB,CCB
24 HR Nisoldipine 34 MG Extended Release Oral Tablet,763589,CCB,CCB
